gene,fg,bg,ratio,p,LRT,tested,informative,outliers,p_UT,LRT_UT
A1BG,2.301761092667964,2.752568354361959,0.8362230456585731,0.002048864941698314,9.505235207034275,10,0,1,0.000495412313688437,29.68940095963626
A1CF,0.2196875961790667,0.2068917742121367,1.0618479009890929,0.6566087645037613,0.1976692621155962,10,0,9,0.000429584601423505,30.05370906921235
A2M,1.344668322165925,1.257796394808648,1.0690667644746217,0.07526459634264349,3.164302136428887,10,1,0,1.412822636659428e-09,59.88185675018758
A2ML1,1.123333296766279,1.106957600699265,1.0147934266467564,0.7408348283648482,0.1093942515581148,9,3,0,9.521272659185342e-13,73.5724950383883
A3GALT2,1.3805366179777,1.480271006750214,0.9326242368338546,0.4026659596191241,0.7003504602871544,10,2,0,1.293223528264775e-09,60.08121343401581
A4GALT,1.197018357876888,1.234649363038947,0.9695208969537435,0.7097344284776683,0.138542356693506,10,0,0,0.1182595335105707,14.11596436133186
A4GNT,1.166783853159928,1.106325755394227,1.0546476455699592,0.5308019467608125,0.3928560529020615,10,0,1,0.001456442846938688,26.89385256102832
AAAS,0.3253750008692065,0.3233188507694771,1.0063595119642295,0.9664872966880093,0.001765201588568743,10,0,0,0.1960737977630433,12.31602739019399
AACS,0.5861767890729126,0.4686418106460056,1.250799172751764,1,-2.185555621610547,10,0,0,0.0214703509707217,19.47135562161202
AADAC,1.325795626134585,1.700264240577993,0.7797585778101702,0.001369967270360095,10.24579234597695,7,0,0,0.01386924284394642,15.97860912237229
AADACL2,2.51778457891522,1.566592228177824,1.6071729028323931,5.522249324485529e-11,42.98282457224195,7,0,1,0,92.29858845760464
AADACL3,2.090734578811497,1.9878659545379,1.051748270067591,0.4676070293337989,0.5276251053837768,10,0,0,0.0004307864176096299,30.04658119138548
AADACL4,3.5482426197789,2.686293732938323,1.3208691872641045,4.838596663336858e-07,25.32711215379823,9,2,0,2.038258450909325e-12,71.91767638141027
AADAT,1.165661811730961,0.915411487807067,1.2733746815034912,0.001737181886553696,9.808382907925989,10,0,1,7.301290899663915e-05,34.49875807359422
AAED1,1.564704256696855,0.6760940806954363,2.314329176033292,0.3030563957332137,1.060696445345002,1,0,0,1,0.001672551365118125
AAED1,0.5359165728651806,0.746454282826897,0.717949625576011,0.02065324226115539,5.355818113022906,10,0,0,0.6204435707508404,7.160208513912949
